,0,1,2
24,rn2kbnr/p2q3p/2ppppp1/p7/bP1P2P1/4PP2/3BNK1P/RN4QR b kq - 1 13,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
25,rn2kbnr/pq5p/2ppppp1/p7/bP1P2P1/4PP2/3BNK1P/RN4QR w kq - 2 14,[],-1
26,rn2kbnr/pq5p/2ppppp1/p7/bP1P2P1/N3PP2/3BNK1P/R5QR b kq - 3 14,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
27,rn2kbnr/pq6/2ppppp1/p6p/bP1P2P1/N3PP2/3BNK1P/R5QR w kq - 0 15,[],-1
28,rn2kbnr/pq6/2ppppp1/p6p/bP1P2P1/N3PP2/3BNK1P/3R2QR b kq - 1 15,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
29,rn2kbnr/p7/2ppppp1/p6p/bq1P2P1/N3PP2/3BNK1P/3R2QR w kq - 0 16,[],-1
30,rn2kbnr/p7/2ppppp1/p6p/bq1P2P1/N1N1PP2/3B1K1P/3R2QR b kq - 1 16,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
31,rn2kbnr/p7/2ppppp1/p6p/b2P2P1/q1N1PP2/3B1K1P/3R2QR w kq - 0 17,[],-1
32,rn2kbnr/p7/2ppppp1/p6p/b2P2P1/q3PP2/N2B1K1P/3R2QR b kq - 1 17,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
33,rn2kbnr/p7/2ppppp1/pb5p/3P2P1/q3PP2/N2B1K1P/3R2QR w kq - 2 18,[],-1
34,rn2kbnr/p7/2ppppp1/pb5p/3P2P1/q3PP2/N2B1K1P/2R3QR b kq - 3 18,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
35,rn3bnr/p3k3/2ppppp1/pb5p/3P2P1/q3PP2/N2B1K1P/2R3QR w - - 4 19,[],-1
36,rn3bnr/p3k3/2ppppp1/pb5p/3P2P1/q3PP2/N2B1K1P/4R1QR b - - 5 19,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
